abbreviation	aliases	type	meaning_ru	meaning_en	lang_code
эпидаврск.	эп.	language	эпидаврский греческий	Epidaurian Greek	
эст.		language	эстонский	Estonian	et
этрусск.		language	этрусский	Etruscan	ett
ю.-в.-р.	южн., южнорусск.	russian dialect	южнорусский	Southern	
южн.	ю., южно, юго	misc	южный	southern	
ю.-слав.	южн.-слав., юж.-слав., южнослав.	language	южнославянский	Southern Slavic	
ягнобск.	ягноб.	language	ягнобский	Yaghnobi	yai
яз.		meta	язык	language	
якут.	якутск.	language	якутский	Yakut	sah
ямбургск.		russian dialect	ямбургский	Yamburg	
яп.		language	японский	Japanese	ja
яренск.		russian dialect	яренский	Yarensk	
яросл.	ярослав.	russian dialect	ярославский	Yaroslavl	
